depth,age,upstream distance,,,,,surface elevation,,,,,thinning function,,,,,past accumulation rate,,,,
[m],[yr],[km],,,,,[m.a.s.l.],,,,,,,,,,[m/yr],,,,
,,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread,flow line A,flow line B,flow line C,average,spread
25,94.6061977746815,17.2785198726208,15.8320102954764,13.1238438794171,15.4114580158381,2.28761413642095,2710.5642823851,2707.68062498267,2697.1585804546,2705.13449594079,7.97591548618905,0.0729834729721433,0.0436254093588542,0.121528617958056,0.0793791667630179,0.0421494511950384,0.124053883234106,0.120245770982795,0.130909216112073,0.125069623442991,0.00583959266908137
26,99.8664481735022,17.9886462984494,16.5484735591442,13.6972889117553,16.0781362564496,2.38084734469431,2712.25653681022,2709.53875206702,2697.65489592163,2706.48339493296,8.8284990113249,0.0769300036739356,0.0453441911780162,0.121903093773001,0.0813924295416509,0.04051066423135,0.124584268211202,0.120462263925159,0.130965044045231,0.125337192060531,0.00562785198470017
27,105.223599684982,18.6987727242779,17.2649368228121,14.2707339440935,16.7448144970612,2.47408055296767,2713.94879123533,2711.39687915137,2698.15121138866,2707.83229392512,9.68108253646051,0.080876534375728,0.0470629729971781,0.122277569587946,0.0834056923202839,0.0388718772676616,0.125119207920441,0.120679537830215,0.131020919615797,0.125606555122151,0.00541436449364594
28,110.780751196462,19.4088991501065,17.9814000864799,14.8441789764317,17.4114927376727,2.56731376124102,2715.64104566044,2713.25500623573,2698.64752685569,2709.18119291729,10.5336660615962,0.0848230650775204,0.0487817548163401,0.12265204540289,0.0854189550989169,0.0372330903039733,0.125658761286134,0.120897596931392,0.13107684288477,0.125877733700766,0.00519910918400482
29,116.48655856438,20.1190255759351,18.6978633501478,15.4176240087698,18.0781709782842,2.66054696951437,2717.33330008556,2715.11313332008,2699.14384232272,2710.53009190945,11.3862495867317,0.0887695957793128,0.0505005366355021,0.123026521217835,0.0874322178775499,0.0369316812420478,0.126202988253395,0.121116445492769,0.131132813913253,0.126150749219806,0.00503430372703658
30,121.702973070248,20.7360356452675,19.313589015536,15.991069041108,18.6802312339705,2.68916219286252,2718.6823463655,2716.5550753881,2699.64015778975,2711.62585984778,11.9857020580335,0.0927161264811051,0.0522193184546641,0.123400997032779,0.0894454806561829,0.0372261622015188,0.126751949810342,0.12133608780936,0.131188832762453,0.126425623460719,0.00508953565135853
31,126.876838109085,21.2095904553925,19.792182000254,16.5645140734462,19.1887621763642,2.62424810291806,2719.50264543842,2717.43047062633,2700.13647325678,2712.35652977384,12.2200565170623,0.095930965573219,0.0541190927515171,0.12637091370908,0.092140324011272,0.0380212312597548,0.127202675482537,0.121579787813382,0.131634811391461,0.126805758229127,0.00522597041574453
32,132.788174713758,21.6831452655175,20.270774984972,17.1379591057844,19.697293118758,2.55933401297359,2720.32294451133,2718.30586586456,2700.63278872381,2713.0871996999,12.4544109760919,0.0991458046653328,0.0560188670483702,0.12934083038538,0.0948351673663611,0.0388163003179909,0.127656618124843,0.121824468716254,0.132083832587329,0.127188306476142,0.00536383775988763
33,138.766508753862,22.1567000756426,20.7493679696899,17.7114041381225,20.2058240611517,2.49441992302913,2721.14324358425,2719.1812611028,2701.12910419084,2713.81786962596,12.6887654351213,0.102360643757447,0.0579186413452233,0.132310747061681,0.0975300107214502,0.0396113693762269,0.128113812301391,0.122070136452134,0.132535927592242,0.127573292115256,0.00550315566312209
34,144.566963877584,22.6302548857676,21.2279609544079,18.2848491704607,20.7143550035454,2.42950583308466,2721.96354265716,2720.05665634103,2701.62541965787,2714.54853955202,12.9231198941506,0.10557548284956,0.0598184156420763,0.135280663737981,0.100224854076539,0.0404064384344629,0.128574293073249,0.122316797003141,0.132991128077601,0.127960739384664,0.00564394238152237
35,150.255283433475,23.1038096958926,21.7065539391258,18.8255323401657,21.2119653250614,2.38643298489566,2722.78384173008,2720.93205157926,2702.58769470485,2715.43452933806,12.8468346332137,0.108790321941674,0.0617181899389294,0.138250580414281,0.102919697431628,0.041201507492699,0.129038096007384,0.122564456399847,0.133449466151408,0.12835067285288,0.00578621645303242
36,156.337963288302,23.5773645060176,22.1851469238438,19.3246859954069,21.6957324750894,2.37104647968249,2723.60414080299,2721.80744681749,2704.14062832737,2716.51740531595,12.3767769885835,0.112005161033788,0.0636179642357825,0.141220497090582,0.105614540786717,0.041996576550935,0.12950525718582,0.122813120721762,0.133910974365826,0.128743117424469,0.00592999670270743
37,162.450104363438,24.0509193161426,22.6637399085617,19.8238396506482,22.1794996251175,2.35565997446932,2724.42443987591,2722.68284205573,2705.69356194989,2717.60028129384,11.9067193439522,0.115220000125902,0.0655177385326356,0.144190413766882,0.108309384141807,0.042791645609171,0.129975813214996,0.123062796097833,0.134375685724879,0.129138098345903,0.00607530224806973
38,168.752266311262,24.5244741262676,23.1423328932797,20.3229933058894,22.6632667751456,2.34027346925615,2725.24473894882,2723.55823729396,2707.24649557241,2718.68315727173,11.4366616993217,0.118434839218016,0.0674175128294886,0.147160330443183,0.111004227496896,0.043586714667407,0.130449801235328,0.12331348870695,0.134843633692322,0.129535641211533,0.00622215250458337
